erro_comum,topico,nivel,explicacao_simples,dica_guiada
"SyntaxError","sintaxe_basica","iniciante","Há um erro na forma como o código foi escrito e o Python não consegue interpretá-lo.","Observe a linha indicada pelo erro. Está faltando algum caractere, como dois pontos, parênteses ou aspas?"
"IndentationError","sintaxe_basica","iniciante","A indentação está incorreta ou inconsistente.","Essa linha faz parte de um bloco como if, for ou while? A indentação está alinhada com as demais?"
"TabError","sintaxe_basica","iniciante","Há mistura de tabs e espaços na indentação.","Você está usando apenas espaços ou apenas tabs para indentar o código?"
"NameError: name is not defined","variaveis","iniciante","Uma variável ou função está sendo usada antes de ser definida.","Essa variável ou função foi criada antes dessa linha? O nome está escrito exatamente igual?"
"UnboundLocalError","variaveis","intermediario","Uma variável local está sendo acessada antes de receber um valor.","Essa variável recebeu algum valor dentro da função antes de ser utilizada?"
"TypeError","tipos_de_dados","iniciante","Foi realizada uma operação entre tipos incompatíveis.","Os valores envolvidos na operação possuem tipos compatíveis? Você verificou usando type()?"
"TypeError: can only concatenate str","tipos_de_dados","iniciante","Você tentou juntar texto com outro tipo de dado sem conversão.","Os dois valores possuem o mesmo tipo? Como você poderia converter um deles?"
"ValueError","tipos_de_dados","iniciante","O valor fornecido não é válido para a operação solicitada.","O conteúdo dessa variável está no formato esperado para essa operação?"
"ZeroDivisionError","operacoes_matematicas","iniciante","O código tentou dividir um número por zero.","Existe alguma situação em que o divisor possa valer zero?"
"OverflowError","operacoes_matematicas","avancado","O cálculo gerou um número maior do que o suportado.","Os valores utilizados nesse cálculo estão crescendo sem controle?"
"IndexError: list index out of range","estruturas_dados","iniciante","Você tentou acessar uma posição que não existe na lista.","Quantos itens essa lista possui e qual posição você está tentando acessar?"
"KeyError","estruturas_dados","intermediario","Você tentou acessar uma chave que não existe em um dicionário.","Essa chave realmente existe no dicionário? Já verificou as chaves disponíveis?"
"AttributeError","poo","intermediario","Você chamou um atributo ou método que não existe nesse objeto.","Tem certeza de que esse objeto é do tipo esperado? Já verificou usando type()?"
"ImportError","modulos","iniciante","O Python não conseguiu importar o recurso solicitado.","O nome do item importado existe realmente nesse módulo?"
"ModuleNotFoundError","ambiente_dev","iniciante","O módulo solicitado não foi encontrado no ambiente.","A biblioteca foi instalada corretamente? O nome está escrito corretamente?"
"FileNotFoundError","arquivos","iniciante","O arquivo informado não foi encontrado.","O caminho e o nome do arquivo estão corretos?"
"PermissionError","arquivos","intermediario","O sistema não permitiu o acesso ao recurso solicitado.","Você possui permissão para acessar esse arquivo ou pasta?"
"IsADirectoryError","arquivos","intermediario","Uma pasta foi utilizada onde era esperado um arquivo.","O caminho informado aponta para um arquivo ou para uma pasta?"
"NotADirectoryError","arquivos","intermediario","Parte do caminho informado não corresponde a um diretório.","Todos os diretórios desse caminho realmente existem?"
"EOFError","entrada_saida","intermediario","A entrada de dados terminou antes do esperado.","O programa recebeu todas as informações necessárias para continuar?"
"AssertionError","testes","intermediario","Uma condição que deveria ser verdadeira falhou.","A condição utilizada no assert deveria realmente ser satisfeita?"
"RuntimeError","execucao","intermediario","Ocorreu um erro durante a execução do programa.","Existe alguma situação inesperada acontecendo no fluxo de execução?"
"RecursionError: maximum recursion depth","recursao","avancado","A função recursiva ultrapassou o limite de chamadas permitido.","Sua função possui uma condição de parada que realmente é alcançada?"
"MemoryError","performance","avancado","O programa tentou utilizar mais memória do que o disponível.","Você está criando listas, dicionários ou objetos muito grandes?"
"StopIteration","iteradores","intermediario","O iterador chegou ao fim dos elementos disponíveis.","Ainda existem elementos para serem percorridos?"
"GeneratorExit","iteradores","avancado","O gerador foi encerrado durante a execução.","O gerador foi interrompido manualmente ou por outro processo?"
